"id","category","title","year","venue","pdf_url","page_url","relevance","golf_fit"
"gomavatar","human_gs_2024","GoMAvatar: Efficient Animatable Human Modeling from Monocular Video Using Gaussians-on-Mesh","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Wen_GoMAvatar_Efficient_Animatable_Human_Modeling_from_Monocular_Video_Using_Gaussians-on-Mesh_CVPR_2024_paper.pdf","https://openaccess.thecvf.com/content/CVPR2024/html/Wen_GoMAvatar_Efficient_Animatable_Human_Modeling_from_Monocular_Video_Using_Gaussians-on-Mesh_CVPR_2024_paper.html","Hybrid mesh-plus-Gaussian monocular avatar method with good efficiency/quality tradeoff.","High"
"ash","human_gs_2024","ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Pang_ASH_Animatable_Gaussian_Splats_for_Efficient_and_Photoreal_Human_Rendering_CVPR_2024_paper.pdf","https://vcai.mpi-inf.mpg.de/projects/ash/","Texture-space Gaussian avatar method from MPI; relevant to sparse-view/high-quality avatar modeling.","High"
"animatable_gaussians","human_gs_2024","Animatable Gaussians: Learning Pose-dependent Gaussian Maps for High-fidelity Human Avatar Modeling","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Animatable_Gaussians_Learning_Pose-dependent_Gaussian_Maps_for_High-fidelity_Human_Avatar_CVPR_2024_paper.pdf","https://arxiv.org/abs/2311.16096","Pose-dependent Gaussian maps for high-fidelity avatar detail.","High"
"hifi4g","human_gs_2024","HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_HiFi4G_High-Fidelity_Human_Performance_Rendering_via_Compact_Gaussian_Splatting_CVPR_2024_paper.pdf","https://arxiv.org/abs/2312.03461","Dense-footage compact Gaussian method aimed at high-fidelity performances.","Very High"
"holoported_characters","human_gs_2024","Holoported Characters: Real-time Free-viewpoint Rendering of Humans from Sparse RGB Cameras","2024","arXiv 2024","https://arxiv.org/pdf/2312.07423.pdf","https://arxiv.org/abs/2312.07423","Sparse calibrated-camera method with explicit free-viewpoint video focus.","Very High"
"metacap","human_gs_2024","MetaCap: Meta-learning Priors from Multi-View Imagery for Sparse-view Human Performance Capture and Rendering","2024","ECCV 2024","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06292.pdf","https://arxiv.org/abs/2403.18820","Sparse-view human performance capture with learned priors.","Very High"
"4dgs","general_4dgs","4D Gaussian Splatting for Real-Time Dynamic Scene Rendering","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_4D_Gaussian_Splatting_for_Real-Time_Dynamic_Scene_Rendering_CVPR_2024_paper.pdf","https://guanjunwu.github.io/4dgs/","Foundational general dynamic 4D Gaussian representation.","Medium"
"spacetime_gs","general_4dgs","Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Spacetime_Gaussian_Feature_Splatting_for_Real-Time_Dynamic_View_Synthesis_CVPR_2024_paper.pdf","https://oppo-us-research.github.io/SpacetimeGaussians-website/","General dynamic GS with strong quality/compactness tradeoffs.","Medium"
"4d_rotor_gs","general_4dgs","4D-Rotor Gaussian Splatting: Towards Efficient Novel View Synthesis for Dynamic Scenes","2024","arXiv 2024","https://arxiv.org/pdf/2402.03307.pdf","https://arxiv.org/abs/2402.03307","General dynamic GS reference emphasizing XYZT Gaussians.","Low"
"dualgs","volumetric_video","Robust Dual Gaussian Splatting for Immersive Human-centric Volumetric Videos","2024","arXiv 2024","https://arxiv.org/pdf/2409.08353.pdf","https://nowheretrix.github.io/DualGS/","Human-centric volumetric video playback/compression method.","Very High"
"v3","volumetric_video","V^3: Viewing Volumetric Videos on Mobiles via Streamable 2D Dynamic Gaussians","2024","SIGGRAPH Asia 2024 / TOG","https://arxiv.org/pdf/2409.13648.pdf","https://authoritywang.github.io/v3/","Volumetric video representation/compression and playback reference.","High"
"queen","volumetric_video","QUEEN: QUantized Efficient ENcoding of Dynamic Gaussians for Streaming Free-viewpoint Videos","2024","arXiv 2024 / NVIDIA 2025","https://arxiv.org/pdf/2412.04469.pdf","https://research.nvidia.com/labs/amri/projects/queen/","NVIDIA streaming/compression work for FVV delivery.","Medium"
"modgs","monocular_dynamic","MoDGS: Dynamic Gaussian Splatting from Casually-captured Monocular Videos with Depth Priors","2025","ICLR 2025","https://modgs.github.io/static/paper.pdf","https://modgs.github.io/","Current general monocular dynamic GS baseline with depth priors.","Medium"
"dut","sparse_multiview_2025","Real-time Free-view Human Rendering from Sparse-view RGB Videos using Double Unprojected Textures","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Sun_Real-time_Free-view_Human_Rendering_from_Sparse-view_RGB_Videos_using_Double_CVPR_2025_paper.pdf","https://vcai.mpi-inf.mpg.de/projects/DUT/","State-of-the-art sparse-view human rendering with 4K emphasis.","Very High"
"gaf","head_specific_2025","GAF: Gaussian Avatar Reconstruction from Monocular Videos via Multi-view Diffusion","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Tang_GAF_Gaussian_Avatar_Reconstruction_from_Monocular_Videos_via_Multi-view_Diffusion_CVPR_2025_paper.pdf","https://tangjiapeng.github.io/projects/GAF/","Head-only diffusion-assisted monocular avatar method; useful as prior trend, not full-body golf solution.","Low"
"giga","sparse_multiview_2025","GIGA: Generalizable Sparse Image-driven Gaussian Avatars","2025","arXiv 2025","https://vcai.mpi-inf.mpg.de/projects/GIGA/paper/giga_2025.pdf","https://vcai.mpi-inf.mpg.de/projects/GIGA/","Generalizable sparse-view full-body Gaussian avatar model.","Very High"
"rogsplat","sparse_multiview_2025","RoGSplat: Learning Robust Generalizable Human Gaussian Splatting from Sparse Multi-View Images","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Xiao_RoGSplat_Learning_Robust_Generalizable_Human_Gaussian_Splatting_from_Sparse_Multi-View_CVPR_2025_paper.pdf","https://arxiv.org/abs/2503.14198","Sparse multi-view human GS with generalization focus.","Very High"
"reperformer","volumetric_video","RePerformer: Immersive Human-centric Volumetric Videos from Playback to Photoreal Reperformance","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Jiang_RePerformer_Immersive_Human-centric_Volumetric_Videos_from_Playback_to_Photoreal_Reperformance_CVPR_2025_paper.pdf","https://moqiyinlun.github.io/Reperformer/","High-fidelity human-centric volumetric video with playback + reperformance.","Very High"
"vid2avatar_pro","monocular_human_2025","Vid2Avatar-Pro: Authentic Avatar from Videos in the Wild via Universal Prior","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Guo_Vid2Avatar-Pro_Authentic_Avatar_from_Videos_in_the_Wild_via_Universal_CVPR_2025_paper.pdf","https://arxiv.org/abs/2503.01610","Strong current monocular avatar method using learned universal priors.","High"
"wonderhuman","monocular_human_2025","WonderHuman: Hallucinating Unseen Parts in Dynamic 3D Human Reconstruction","2025","arXiv 2025","https://arxiv.org/pdf/2502.01045.pdf","https://arxiv.org/abs/2502.01045","Monocular method explicitly targeting unseen-body hallucination.","High"
"rmavatar","monocular_human_2025","RMAvatar: Photorealistic Human Avatar Reconstruction from Monocular Video Based on Rectified Mesh-embedded Gaussians","2025","Computers & Graphics 2025","https://arxiv.org/pdf/2501.07104.pdf","https://rm-avatar.github.io/","Monocular mesh-embedded GS method focused on photorealism.","High"
"deblur_avatar","blur_fast_motion","Deblur-Avatar: Animatable Avatars from Motion-Blurred Monocular Videos","2025","arXiv 2025","https://arxiv.org/pdf/2501.13335.pdf","https://arxiv.org/abs/2501.13335","Blur-aware human avatar reconstruction directly relevant to fast golf swings.","Very High"
"bard_gs","blur_fast_motion","BARD-GS: Blur-Aware Reconstruction of Dynamic Scenes via Gaussian Splatting","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Lu_BARD-GS_Blur-Aware_Reconstruction_of_Dynamic_Scenes_via_Gaussian_Splatting_CVPR_2025_paper.pdf","https://arxiv.org/abs/2503.15835","General dynamic blur-aware GS reconstruction; useful for fast-motion capture constraints.","High"
"event_guided_human_scene_gs","blur_fast_motion","Event-guided 3D Gaussian Splatting for Dynamic Human and Scene Reconstruction","2025","arXiv 2025","https://arxiv.org/pdf/2509.18566.pdf","https://arxiv.org/abs/2509.18566","Event-camera reconstruction path for severe fast motion and blur.","Very High"
"gaspacho","human_object_2025","GASPACHO: Gaussian Splatting for Controllable Humans and Objects","2025","arXiv 2025","https://arxiv.org/pdf/2503.09342.pdf","https://arxiv.org/abs/2503.09342","Key human-object interaction paper; directly relevant to golf club handling.","Very High"
"efficienthuman","monocular_human_2025","EfficientHuman: Efficient Training and Reconstruction of Moving Human using Articulated 2D Gaussian","2025","arXiv 2025","https://arxiv.org/pdf/2504.20607.pdf","https://arxiv.org/abs/2504.20607","Articulated 2D surfel-like approach; more speed-oriented than quality-oriented.","Medium"
"geoavatar","sparse_multiview_2025","GeoAvatar: Geometrically-Consistent Multi-Person Avatar Reconstruction from Sparse Multi-View Videos","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Lee_GeoAvatar_Geometrically-Consistent_Multi-Person_Avatar_Reconstruction_from_Sparse_Multi-View_Videos_CVPR_2025_paper.pdf","https://openaccess.thecvf.com/content/CVPR2025/html/Lee_GeoAvatar_Geometrically-Consistent_Multi-Person_Avatar_Reconstruction_from_Sparse_Multi-View_Videos_CVPR_2025_paper.html","Multi-person sparse-view method; useful for occlusion reasoning, less central for single-subject golf.","Medium"
"play4d","volumetric_video","Play4D: Accelerated and Interactive Free-viewpoint Video Streaming for Virtual Reality and Light Field Displays","2025","SIGGRAPH Emerging Technologies 2025","https://research.nvidia.com/labs/amri/projects/play4d/media/pdf/play4d.pdf","https://research.nvidia.com/publication/2025-12_play4d-accelerated-and-interactive-free-viewpoint-video-streaming-virtual","NVIDIA end-to-end FVV streaming stack built atop 4DGS + compression.","Medium"
"l4gm","feedforward_4d","L4GM: Large 4D Gaussian Reconstruction Model","2024","NeurIPS 2024","https://arxiv.org/pdf/2406.10324.pdf","https://research.nvidia.com/labs/toronto-ai/l4gm/","NVIDIA/MIT feed-forward 4D reconstruction frontier; not yet best artifact quality for humans.","Low"
"4dgt","feedforward_4d","4DGT: Learning a 4D Gaussian Transformer Using Real-World Monocular Videos","2025","NeurIPS 2025","https://arxiv.org/pdf/2506.08015.pdf","https://4dgt.github.io/","Meta feed-forward monocular 4D reconstruction frontier.","Medium"
"jointgs","frontier_2026","JOintGS: Joint Optimization of Cameras, Bodies and 3D Gaussians for In-the-Wild Monocular Reconstruction","2026","arXiv 2026","https://arxiv.org/pdf/2602.04317.pdf","https://arxiv.org/abs/2602.04317","Current frontier monocular work improving robustness to bad camera/body initialization.","Medium"
"ahoy","frontier_2026","AHOY! Animatable Humans under Occlusion from YouTube Videos with Gaussian Splatting and Video Diffusion Priors","2026","arXiv 2026","https://arxiv.org/pdf/2603.17975.pdf","https://miraymen.github.io/ahoy/","Current frontier monocular work for heavy occlusion and unseen regions.","Medium"
