"id","category","title","year","venue","pdf_url","page_url","relevance","golf_fit"
"gbc_splat","sparse_multiview_extra","GBC-Splat: Generalizable Gaussian-Based Clothed Human Digitalization under Sparse RGB Cameras","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Tu_GBC-Splat_Generalizable_Gaussian-Based_Clothed_Human_Digitalization_under_Sparse_RGB_Cameras_CVPR_2025_paper.pdf","https://openaccess.thecvf.com/content/CVPR2025/html/Tu_GBC-Splat_Generalizable_Gaussian-Based_Clothed_Human_Digitalization_under_Sparse_RGB_Cameras_CVPR_2025_paper.html","Current sparse-RGB-camera clothed human digitalization paper.","Very High"
"clocap_gs","sparse_multiview_extra","CloCap-GS: Clothed Human Performance Capture with 3D Gaussian Splatting","2025","TIP 2025","","https://wangkangkan.github.io/CloCap-GS/","Clothed human performance capture with 3DGS; useful despite non-open PDF.","Very High"
"hr_human","explicit_avatar_extra","HR Human: Modeling Human Avatars with Triangular Mesh and High-Resolution Textures from Videos","2024","arXiv 2024","https://arxiv.org/pdf/2405.11270.pdf","https://arxiv.org/abs/2405.11270","Explicit mesh-and-texture avatar path focused on graphics-engine compatibility.","High"
"meshavatar","explicit_avatar_extra","MeshAvatar: Learning High-quality Triangular Human Avatars from Multi-view Videos","2024","ECCV 2024","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08563.pdf","https://arxiv.org/abs/2407.08414","High-quality explicit triangular avatar from multi-view video.","High"
"haha","explicit_avatar_extra","HAHA: Highly Articulated Gaussian Human Avatars with Textured Mesh Prior","2024","ACCV 2024","https://openaccess.thecvf.com/content/ACCV2024/papers/Svitov_HAHA_Highly_Articulated_Gaussian_Human_Avatars_with_Textured_Mesh_Prior_ACCV_2024_paper.pdf","https://arxiv.org/abs/2404.01053","Hybrid mesh-plus-Gaussian monocular avatar with articulation emphasis.","High"
"exavatar","explicit_avatar_extra","Expressive Whole-Body 3D Gaussian Avatar","2024","ECCV 2024","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05715.pdf","https://mks0601.github.io/ExAvatar/","Whole-body expressive Gaussian avatar from short monocular video.","High"
"relightable_avatar_videos","relightable_human","Relightable and Animatable Neural Avatars from Videos","2024","AAAI 2024","https://arxiv.org/pdf/2312.12877.pdf","https://wenbin-lin.github.io/RelightableAvatar-page/","Relightable monocular avatar reconstruction from sparse videos.","High"
"relightable_avatar_sparseview","relightable_human","Relightable and Animatable Neural Avatar from Sparse-View Video","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Relightable_and_Animatable_Neural_Avatar_from_Sparse-View_Video_CVPR_2024_paper.pdf","https://openaccess.thecvf.com/content/CVPR2024/html/Xu_Relightable_and_Animatable_Neural_Avatar_from_Sparse-View_Video_CVPR_2024_paper.html","Sparse-view full-body relightable avatar benchmark paper.","Very High"
"relighting4d","relightable_human","Relighting4D: Neural Relightable Human from Videos","2022","ECCV 2022","https://arxiv.org/pdf/2207.07104.pdf","https://arxiv.org/abs/2207.07104","Earlier full-body relightable human reconstruction benchmark.","High"
"rana","relightable_human","RANA: Relightable Articulated Neural Avatars","2023","ICCV 2023","https://arxiv.org/pdf/2212.03237.pdf","https://nvlabs.github.io/RANA/","NVIDIA relightable articulated avatar method.","High"
"sgia","relightable_human","Surfel-based Gaussian Inverse Rendering for Fast and Relightable Dynamic Human Reconstruction from Monocular Video","2025","TPAMI 2025 / arXiv 2024","https://arxiv.org/pdf/2407.15212.pdf","https://arxiv.org/abs/2407.15212","Relightable monocular dynamic human reconstruction using surfel-based Gaussian inverse rendering.","High"
"interactive_raga","relightable_human","Interactive Rendering of Relightable and Animatable Gaussian Avatars","2025","TVCG 2025 / arXiv 2024","https://arxiv.org/pdf/2407.10707.pdf","https://gapszju.github.io/InteractRAGA/","Interactive relightable Gaussian avatar rendering.","Medium"
"rnd_gaussian_avatar","relightable_human","Relightable and Dynamic Gaussian Avatar Reconstruction from Monocular Video","2025","SIGGRAPH Asia 2025 / arXiv 2025","https://arxiv.org/pdf/2512.09335.pdf","https://arxiv.org/abs/2512.09335","Latest monocular relightable dynamic Gaussian avatar paper.","Very High"
"hogs","human_object_extra","Physics-Aware Human-Object Rendering from Sparse Views via 3D Gaussian Splatting","2025","arXiv 2025","https://arxiv.org/pdf/2503.09640.pdf","https://arxiv.org/abs/2503.09640","Directly relevant human-object rendering paper for golf-club interaction.","Very High"
"relightable_holoported_characters","sparse_multiview_extra","Relightable Holoported Characters: Capturing and Relighting Dynamic Human Performance from Sparse Views","2025","arXiv 2025","https://arxiv.org/pdf/2512.00255.pdf","https://arxiv.org/abs/2512.00255","Sparse-view relightable human performance capture frontier.","Very High"
"pghm","frontier_2025","Parametric Gaussian Human Model: Generalizable Prior for Efficient and Realistic Human Avatar Modeling","2025","3DV 2026 / arXiv 2025","https://arxiv.org/pdf/2506.06645.pdf","https://pengc02.github.io/pghm/","Generalizable parametric Gaussian prior for monocular avatars.","High"
"distributed_mlps","frontier_2025","Real-time High-fidelity Gaussian Human Avatars with Position-based Interpolation of Spatially Distributed MLPs","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/papers/Zhan_Real-time_High-fidelity_Gaussian_Human_Avatars_with_Position-based_Interpolation_of_Spatially_CVPR_2025_paper.pdf","https://openaccess.thecvf.com/content/CVPR2025/html/Zhan_Real-time_High-fidelity_Gaussian_Human_Avatars_with_Position-based_Interpolation_of_Spatially_CVPR_2025_paper.html","Current high-fidelity Gaussian human avatar method emphasizing distributed MLP appearance modeling.","High"
"diffuman4d","frontier_2025","Diffuman4D: 4D Consistent Human View Synthesis from Sparse-View Videos with Spatio-Temporal Diffusion Models","2025","ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/papers/Jin_Diffuman4D_4D_Consistent_Human_View_Synthesis_from_Sparse-View_Videos_with_ICCV_2025_paper.pdf","https://openaccess.thecvf.com/content/ICCV2025/html/Jin_Diffuman4D_4D_Consistent_Human_View_Synthesis_from_Sparse-View_Videos_with_ICCV_2025_paper.html","Diffusion-based sparse-view 4D human synthesis frontier.","High"
"eva","frontier_2025","EVA: Expressive Virtual Avatars from Multi-view Videos","2025","arXiv 2025","https://pure.mpg.de/pubman/item/item_3656969_5/component/file_3656970/arXiv%3A2505.15385.pdf","https://arxiv.org/abs/2505.15385","High-end expressive multi-view avatar modeling from MPI lineage.","High"
"uma","frontier_2025","UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment","2025","arXiv 2025","https://pure.mpg.de/pubman/item/item_3661830_1/component/file_3661831/arXiv%3A2506.01802.pdf","https://vcai.mpi-inf.mpg.de/projects/UMA/","Current frontier for ultra-detailed human avatars from multi-view videos.","Very High"
"lca","frontier_2026","Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining","2026","arXiv 2026","https://arxiv.org/pdf/2604.02320.pdf","https://arxiv.org/abs/2604.02320","Latest large-scale avatar pretraining result; relevant to future monocular/sparse-view quality.","High"
"sceneshine","frontier_2026","SceneShine: Illumination-aware Human-Scene Gaussian Re-Splatting from Mobile Device Video","2026","WACV 2026","https://openaccess.thecvf.com/content/WACV2026/papers/Ren_SceneShine_Illumination-aware_Human_Scene_Gaussian_Re-Splatting_from_Mobile_Device_Video_WACV_2026_paper.pdf","https://openaccess.thecvf.com/content/WACV2026/html/Ren_SceneShine_Illumination-aware_Human_Scene_Gaussian_Re-Splatting_from_Mobile_Device_Video_WACV_2026_paper.html","Recent mobile-video human-scene relightable re-splatting paper.","Medium"
"easyvolcap","tooling_dataset","EasyVolcap: Accelerating Neural Volumetric Video Research","2023","SIGGRAPH Asia 2023 TC / arXiv","https://arxiv.org/pdf/2312.06575.pdf","https://arxiv.org/abs/2312.06575","Important open-source volumetric video research toolkit.","Medium"
"human_olat","tooling_dataset","HumanOLAT: A Large-Scale Dataset for Full-Body Human Relighting and Novel-View Synthesis","2025","ICCV 2025","https://people.mpi-inf.mpg.de/~prao/papers/human_olat/paper.pdf","https://vcai.mpi-inf.mpg.de/projects/HumanOLAT/","Key full-body relighting and novel-view dataset.","High"
"longvolcap","volumetric_video_extra","Representing Long Volumetric Video with Temporal Gaussian Hierarchy","2024","TOG 2024 / arXiv","https://arxiv.org/pdf/2412.09608.pdf","https://zju3dv.github.io/longvolcap/","Long-duration volumetric video representation relevant to extended sessions.","Medium"
"live4d","system_delivery","Live4D: A Real-time Capture System for Streamable Volumetric Video","2023","SIGGRAPH Asia 2023","","https://live4d-vv.github.io/","System-level streamable volumetric video capture pipeline.","Medium"
"livevv","system_delivery","LiveVV: Human-Centered Live Volumetric Video Streaming System","2023","arXiv 2023","https://arxiv.org/pdf/2310.08205.pdf","https://arxiv.org/abs/2310.08205","Live human-centered volumetric video streaming system.","Medium"
"metastream","system_delivery","MetaStream: Live Volumetric Content Capture, Creation, Delivery, and Rendering in Real Time","2023","MobiCom 2023","https://3dvar.com/Guan2023MetaStream.pdf","https://digitalcommons.njit.edu/fac_pubs/2081/","Live volumetric capture-to-display system reference.","Medium"
"fvv_live","system_delivery","FVV Live: A Real-Time Free-Viewpoint Video System with Consumer Electronics Hardware","2020","Signal Processing: Image Communication 2020","https://arxiv.org/pdf/2007.00558.pdf","https://arxiv.org/abs/2007.00558","Earlier real-time FVV system with consumer hardware.","Medium"
"relightables","system_delivery","The Relightables: Volumetric Performance Capture of Humans with Realistic Relighting","2019","SIGGRAPH Asia 2019","https://augmentedperception.github.io/therelightables/relightables_paper.pdf","https://augmentedperception.github.io/therelightables/","Google-quality relightable human capture system.","High"
"immersive_video_survey","survey_review","Immersive Video Interaction System: A Survey","2025","Visual Intelligence 2025","https://link.springer.com/content/pdf/10.1007/s44267-025-00076-z.pdf","https://link.springer.com/article/10.1007/s44267-025-00076-z","Broad survey of immersive/volumetric video systems and interaction.","Low"
"humancentric_vv_framework","survey_review","A General Framework for Gaussian Splatting-Based Human-Centric Volumetric Videos","2026","Visual Intelligence 2026","https://link.springer.com/content/pdf/10.1007/s44267-026-00111-7.pdf","https://link.springer.com/article/10.1007/s44267-026-00111-7","Framework/review paper focused specifically on human-centric volumetric video with GS.","Medium"
"human_3dgs_survey","survey_review","Human Reconstruction using 3D Gaussian Splatting: A Brief Survey","2025","Frontiers in Artificial Intelligence 2025","https://public-pages-files-2025.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1709229/pdf","https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1709229/full","Brief survey of human reconstruction through the 3DGS lens.","Low"
