id,title,category,year,venue,pdf_present,page_present,pdf_path,page_path,golf_fit
dynibar,DynIBaR: Neural Dynamic Image-Based Rendering,foundational,2023,CVPR 2023,true,true,papers/dynibar-dynibar-neural-dynamic-image-based-rendering.pdf,pages/dynibar-dynibar-neural-dynamic-image-based-rendering.html,Medium
easyvolcap,EasyVolcap: Accelerating Neural Volumetric Video Research,tooling_dataset,2023,SIGGRAPH Asia 2023 TC / arXiv,true,true,papers/easyvolcap-easyvolcap-accelerating-neural-volumetric-video-research.pdf,pages/easyvolcap-easyvolcap-accelerating-neural-volumetric-video-research.html,Medium
efficienthuman,EfficientHuman: Efficient Training and Reconstruction of Moving Human using Articulated 2D Gaussian,monocular_human_2025,2025,arXiv 2025,true,true,papers/efficienthuman-efficienthuman-efficient-training-and-reconstruction-of-moving-human-using-artic.pdf,pages/efficienthuman-efficienthuman-efficient-training-and-reconstruction-of-moving-human-using-artic.html,Medium
eva,EVA: Expressive Virtual Avatars from Multi-view Videos,frontier_2025,2025,arXiv 2025,true,true,papers/eva-eva-expressive-virtual-avatars-from-multi-view-videos.pdf,pages/eva-eva-expressive-virtual-avatars-from-multi-view-videos.html,High
event_guided_human_scene_gs,Event-guided 3D Gaussian Splatting for Dynamic Human and Scene Reconstruction,blur_fast_motion,2025,arXiv 2025,true,true,papers/event_guided_human_scene_gs-event-guided-3d-gaussian-splatting-for-dynamic-human-and-scene-reconstruction.pdf,pages/event_guided_human_scene_gs-event-guided-3d-gaussian-splatting-for-dynamic-human-and-scene-reconstruction.html,Very High
exavatar,Expressive Whole-Body 3D Gaussian Avatar,explicit_avatar_extra,2024,ECCV 2024,true,true,papers/exavatar-expressive-whole-body-3d-gaussian-avatar.pdf,pages/exavatar-expressive-whole-body-3d-gaussian-avatar.html,High
fewshot_rgbd,Few-shot Neural Human Performance Rendering from Sparse RGBD Videos,legacy_foundational,2021,IJCAI 2021,true,true,papers/fewshot_rgbd-few-shot-neural-human-performance-rendering-from-sparse-rgbd-videos.pdf,pages/fewshot_rgbd-few-shot-neural-human-performance-rendering-from-sparse-rgbd-videos.html,Medium
flexnerf,FlexNeRF: Photorealistic Free-viewpoint Rendering of Moving Humans from Sparse Views,foundational,2023,CVPR 2023,true,true,papers/flexnerf-flexnerf-photorealistic-free-viewpoint-rendering-of-moving-humans-from-sparse-vi.pdf,pages/flexnerf-flexnerf-photorealistic-free-viewpoint-rendering-of-moving-humans-from-sparse-vi.html,High
function4d,Function4D: Real-Time Human Volumetric Capture from Very Sparse Consumer RGBD Sensors,legacy_foundational,2021,CVPR 2021,true,true,papers/function4d-function4d-real-time-human-volumetric-capture-from-very-sparse-consumer-rgbd-sen.pdf,pages/function4d-function4d-real-time-human-volumetric-capture-from-very-sparse-consumer-rgbd-sen.html,Medium
fvv_live,FVV Live: A Real-Time Free-Viewpoint Video System with Consumer Electronics Hardware,system_delivery,2020,Signal Processing: Image Communication 2020,true,true,papers/fvv_live-fvv-live-a-real-time-free-viewpoint-video-system-with-consumer-electronics-hardw.pdf,pages/fvv_live-fvv-live-a-real-time-free-viewpoint-video-system-with-consumer-electronics-hardw.html,Medium
gaf,GAF: Gaussian Avatar Reconstruction from Monocular Videos via Multi-view Diffusion,head_specific_2025,2025,CVPR 2025,true,true,papers/gaf-gaf-gaussian-avatar-reconstruction-from-monocular-videos-via-multi-view-diffusio.pdf,pages/gaf-gaf-gaussian-avatar-reconstruction-from-monocular-videos-via-multi-view-diffusio.html,Low
gaspacho,GASPACHO: Gaussian Splatting for Controllable Humans and Objects,human_object_2025,2025,arXiv 2025,true,true,papers/gaspacho-gaspacho-gaussian-splatting-for-controllable-humans-and-objects.pdf,pages/gaspacho-gaspacho-gaussian-splatting-for-controllable-humans-and-objects.html,Very High
gauhuman,GauHuman: Articulated Gaussian Splatting from Monocular Human Videos,human_gs_2024,2024,CVPR 2024,true,true,papers/gauhuman-gauhuman-articulated-gaussian-splatting-from-monocular-human-videos.pdf,pages/gauhuman-gauhuman-articulated-gaussian-splatting-from-monocular-human-videos.html,High
gaussianavatar,GaussianAvatar: Towards Realistic Human Avatar Modeling from a Single Video via Animatable 3D Gaussians,human_gs_2024,2024,CVPR 2024 / C&G 2025,true,true,papers/gaussianavatar-gaussianavatar-towards-realistic-human-avatar-modeling-from-a-single-video-via-a.pdf,pages/gaussianavatar-gaussianavatar-towards-realistic-human-avatar-modeling-from-a-single-video-via-a.html,High
gaussianbody,GaussianBody: Clothed Human Reconstruction via 3D Gaussian Splatting,human_gs_extra,2024,arXiv 2024,true,true,papers/gaussianbody-gaussianbody-clothed-human-reconstruction-via-3d-gaussian-splatting.pdf,pages/gaussianbody-gaussianbody-clothed-human-reconstruction-via-3d-gaussian-splatting.html,High
gbc_splat,GBC-Splat: Generalizable Gaussian-Based Clothed Human Digitalization under Sparse RGB Cameras,sparse_multiview_extra,2025,CVPR 2025,true,true,papers/gbc_splat-gbc-splat-generalizable-gaussian-based-clothed-human-digitalization-under-sparse.pdf,pages/gbc_splat-gbc-splat-generalizable-gaussian-based-clothed-human-digitalization-under-sparse.html,Very High
generalizable_human_gaussians,Generalizable Human Gaussians for Sparse View Synthesis,sparse_multiview_extra,2024,ECCV 2024,true,true,papers/generalizable_human_gaussians-generalizable-human-gaussians-for-sparse-view-synthesis.pdf,pages/generalizable_human_gaussians-generalizable-human-gaussians-for-sparse-view-synthesis.html,Very High
geoavatar,GeoAvatar: Geometrically-Consistent Multi-Person Avatar Reconstruction from Sparse Multi-View Videos,sparse_multiview_2025,2025,CVPR 2025,true,true,papers/geoavatar-geoavatar-geometrically-consistent-multi-person-avatar-reconstruction-from-spars.pdf,pages/geoavatar-geoavatar-geometrically-consistent-multi-person-avatar-reconstruction-from-spars.html,Medium
giga,GIGA: Generalizable Sparse Image-driven Gaussian Avatars,sparse_multiview_2025,2025,arXiv 2025,true,true,papers/giga-giga-generalizable-sparse-image-driven-gaussian-avatars.pdf,pages/giga-giga-generalizable-sparse-image-driven-gaussian-avatars.html,Very High
gomavatar,GoMAvatar: Efficient Animatable Human Modeling from Monocular Video Using Gaussians-on-Mesh,human_gs_2024,2024,CVPR 2024,true,true,papers/gomavatar-gomavatar-efficient-animatable-human-modeling-from-monocular-video-using-gaussia.pdf,pages/gomavatar-gomavatar-efficient-animatable-human-modeling-from-monocular-video-using-gaussia.html,High
gpnerf,Geometry-Guided Progressive NeRF for Generalizable and Efficient Neural Human Rendering,legacy_foundational,2022,ECCV 2022,true,true,papers/gpnerf-geometry-guided-progressive-nerf-for-generalizable-and-efficient-neural-human-re.pdf,pages/gpnerf-geometry-guided-progressive-nerf-for-generalizable-and-efficient-neural-human-re.html,High
gps_gaussian,GPS-Gaussian: Generalizable Pixel-Wise 3D Gaussian Splatting for Real-Time Human Novel View Synthesis,sparse_multiview_extra,2024,CVPR 2024,true,true,papers/gps_gaussian-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.pdf,pages/gps_gaussian-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.html,Very High
gps_gaussian_plus,GPS-Gaussian+: Generalizable Pixel-wise 3D Gaussian Splatting for Real-Time Human-Scene Rendering from Sparse Views,sparse_multiview_extra,2025,TPAMI 2025 / arXiv 2024,true,true,papers/gps_gaussian_plus-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.pdf,pages/gps_gaussian_plus-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.html,Very High
haha,HAHA: Highly Articulated Gaussian Human Avatars with Textured Mesh Prior,explicit_avatar_extra,2024,ACCV 2024,true,true,papers/haha-haha-highly-articulated-gaussian-human-avatars-with-textured-mesh-prior.pdf,pages/haha-haha-highly-articulated-gaussian-human-avatars-with-textured-mesh-prior.html,High
hdhuman,HDHuman: High-Quality Human Novel-View Rendering from Sparse Views,legacy_foundational,2022,CVPR 2022,true,true,papers/hdhuman-hdhuman-high-quality-human-novel-view-rendering-from-sparse-views.pdf,pages/hdhuman-hdhuman-high-quality-human-novel-view-rendering-from-sparse-views.html,High
hf_avatar_single_rgb,High-Fidelity Human Avatars from a Single RGB Camera,legacy_foundational,2022,CVPR 2022,true,true,papers/hf_avatar_single_rgb-high-fidelity-human-avatars-from-a-single-rgb-camera.pdf,pages/hf_avatar_single_rgb-high-fidelity-human-avatars-from-a-single-rgb-camera.html,High
hifecap,HiFECap: Monocular High-Fidelity and Expressive Capture of Human Performances,legacy_foundational,2022,BMVC 2022,true,true,papers/hifecap-hifecap-monocular-high-fidelity-and-expressive-capture-of-human-performances.pdf,pages/hifecap-hifecap-monocular-high-fidelity-and-expressive-capture-of-human-performances.html,High
hifi4g,HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,human_gs_2024,2024,CVPR 2024,true,true,papers/hifi4g-hifi4g-high-fidelity-human-performance-rendering-via-compact-gaussian-splatting.pdf,pages/hifi4g-hifi4g-high-fidelity-human-performance-rendering-via-compact-gaussian-splatting.html,Very High
hnerf,H-NeRF: Neural Radiance Fields for Rendering and Temporal Reconstruction of Humans in Motion,foundational,2021,NeurIPS 2021,true,true,papers/hnerf-h-nerf-neural-radiance-fields-for-rendering-and-temporal-reconstruction-of-human.pdf,pages/hnerf-h-nerf-neural-radiance-fields-for-rendering-and-temporal-reconstruction-of-human.html,Medium
hogs,Physics-Aware Human-Object Rendering from Sparse Views via 3D Gaussian Splatting,human_object_extra,2025,arXiv 2025,true,true,papers/hogs-physics-aware-human-object-rendering-from-sparse-views-via-3d-gaussian-splatting.pdf,pages/hogs-physics-aware-human-object-rendering-from-sparse-views-via-3d-gaussian-splatting.html,Very High
holoported_characters,Holoported Characters: Real-time Free-viewpoint Rendering of Humans from Sparse RGB Cameras,human_gs_2024,2024,arXiv 2024,true,true,papers/holoported_characters-holoported-characters-real-time-free-viewpoint-rendering-of-humans-from-sparse-r.pdf,pages/holoported_characters-holoported-characters-real-time-free-viewpoint-rendering-of-humans-from-sparse-r.html,Very High
hosnerf,HOSNeRF: Dynamic Human-Object-Scene Neural Radiance Fields from a Single Video,human_object_legacy,2023,ICCV 2023,true,true,papers/hosnerf-hosnerf-dynamic-human-object-scene-neural-radiance-fields-from-a-single-video.pdf,pages/hosnerf-hosnerf-dynamic-human-object-scene-neural-radiance-fields-from-a-single-video.html,Very High
hr_human,HR Human: Modeling Human Avatars with Triangular Mesh and High-Resolution Textures from Videos,explicit_avatar_extra,2024,arXiv 2024,true,true,papers/hr_human-hr-human-modeling-human-avatars-with-triangular-mesh-and-high-resolution-texture.pdf,pages/hr_human-hr-human-modeling-human-avatars-with-triangular-mesh-and-high-resolution-texture.html,High
hugs,HUGS: Human Gaussian Splats,human_gs_2024,2024,CVPR 2024,true,true,papers/hugs-hugs-human-gaussian-splats.pdf,pages/hugs-hugs-human-gaussian-splats.html,High
human_3dgs_survey,Human Reconstruction using 3D Gaussian Splatting: A Brief Survey,survey_review,2025,Frontiers in Artificial Intelligence 2025,true,true,papers/human_3dgs_survey-human-reconstruction-using-3d-gaussian-splatting-a-brief-survey.pdf,pages/human_3dgs_survey-human-reconstruction-using-3d-gaussian-splatting-a-brief-survey.html,Low
human_olat,HumanOLAT: A Large-Scale Dataset for Full-Body Human Relighting and Novel-View Synthesis,tooling_dataset,2025,ICCV 2025,true,true,papers/human_olat-humanolat-a-large-scale-dataset-for-full-body-human-relighting-and-novel-view-sy.pdf,pages/human_olat-humanolat-a-large-scale-dataset-for-full-body-human-relighting-and-novel-view-sy.html,High
human_perf_wild,Human Performance Capture from Monocular Video in the Wild,legacy_foundational,2021,3DV 2021,true,true,papers/human_perf_wild-human-performance-capture-from-monocular-video-in-the-wild.pdf,pages/human_perf_wild-human-performance-capture-from-monocular-video-in-the-wild.html,Medium
humancentric_vv_framework,A General Framework for Gaussian Splatting-Based Human-Centric Volumetric Videos,survey_review,2026,Visual Intelligence 2026,true,true,papers/humancentric_vv_framework-a-general-framework-for-gaussian-splatting-based-human-centric-volumetric-videos.pdf,pages/humancentric_vv_framework-a-general-framework-for-gaussian-splatting-based-human-centric-volumetric-videos.html,Medium
humannerf,HumanNeRF: Free-viewpoint Rendering of Moving People from Monocular Video,foundational,2022,CVPR 2022,true,true,papers/humannerf-humannerf-free-viewpoint-rendering-of-moving-people-from-monocular-video.pdf,pages/humannerf-humannerf-free-viewpoint-rendering-of-moving-people-from-monocular-video.html,Medium
humanrf,HumanRF: High-Fidelity Neural Radiance Fields for Humans in Motion,dense_multiview,2023,SIGGRAPH 2023,true,true,papers/humanrf-humanrf-high-fidelity-neural-radiance-fields-for-humans-in-motion.pdf,pages/humanrf-humanrf-high-fidelity-neural-radiance-fields-for-humans-in-motion.html,Very High
immersive_video_survey,Immersive Video Interaction System: A Survey,survey_review,2025,Visual Intelligence 2025,true,true,papers/immersive_video_survey-immersive-video-interaction-system-a-survey.pdf,pages/immersive_video_survey-immersive-video-interaction-system-a-survey.html,Low
interactive_raga,Interactive Rendering of Relightable and Animatable Gaussian Avatars,relightable_human,2025,TVCG 2025 / arXiv 2024,true,true,papers/interactive_raga-interactive-rendering-of-relightable-and-animatable-gaussian-avatars.pdf,pages/interactive_raga-interactive-rendering-of-relightable-and-animatable-gaussian-avatars.html,Medium
jointgs,"JOintGS: Joint Optimization of Cameras, Bodies and 3D Gaussians for In-the-Wild Monocular Reconstruction",frontier_2026,2026,arXiv 2026,true,true,papers/jointgs-jointgs-joint-optimization-of-cameras-bodies-and-3d-gaussians-for-in-the-wild-mo.pdf,pages/jointgs-jointgs-joint-optimization-of-cameras-bodies-and-3d-gaussians-for-in-the-wild-mo.html,Medium
l4gm,L4GM: Large 4D Gaussian Reconstruction Model,feedforward_4d,2024,NeurIPS 2024,true,true,papers/l4gm-l4gm-large-4d-gaussian-reconstruction-model.pdf,pages/l4gm-l4gm-large-4d-gaussian-reconstruction-model.html,Low
lca,Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining,frontier_2026,2026,arXiv 2026,true,true,papers/lca-large-scale-codec-avatars-the-unreasonable-effectiveness-of-large-scale-avatar-p.pdf,pages/lca-large-scale-codec-avatars-the-unreasonable-effectiveness-of-large-scale-avatar-p.html,High
live4d,Live4D: A Real-time Capture System for Streamable Volumetric Video,system_delivery,2023,SIGGRAPH Asia 2023,false,true,,pages/live4d-live4d-a-real-time-capture-system-for-streamable-volumetric-video.html,Medium
livevv,LiveVV: Human-Centered Live Volumetric Video Streaming System,system_delivery,2023,arXiv 2023,true,true,papers/livevv-livevv-human-centered-live-volumetric-video-streaming-system.pdf,pages/livevv-livevv-human-centered-live-volumetric-video-streaming-system.html,Medium
longvolcap,Representing Long Volumetric Video with Temporal Gaussian Hierarchy,volumetric_video_extra,2024,TOG 2024 / arXiv,true,true,papers/longvolcap-representing-long-volumetric-video-with-temporal-gaussian-hierarchy.pdf,pages/longvolcap-representing-long-volumetric-video-with-temporal-gaussian-hierarchy.html,Medium
lookingood,LookinGood: Enhancing Performance Capture with Real-Time Neural Re-Rendering,relightable_legacy,2018,SIGGRAPH Asia 2018,true,true,papers/lookingood-lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering.pdf,pages/lookingood-lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering.html,Medium
meshavatar,MeshAvatar: Learning High-quality Triangular Human Avatars from Multi-view Videos,explicit_avatar_extra,2024,ECCV 2024,true,true,papers/meshavatar-meshavatar-learning-high-quality-triangular-human-avatars-from-multi-view-videos.pdf,pages/meshavatar-meshavatar-learning-high-quality-triangular-human-avatars-from-multi-view-videos.html,High
metacap,MetaCap: Meta-learning Priors from Multi-View Imagery for Sparse-view Human Performance Capture and Rendering,human_gs_2024,2024,ECCV 2024,true,true,papers/metacap-metacap-meta-learning-priors-from-multi-view-imagery-for-sparse-view-human-perfo.pdf,pages/metacap-metacap-meta-learning-priors-from-multi-view-imagery-for-sparse-view-human-perfo.html,Very High
metastream,"MetaStream: Live Volumetric Content Capture, Creation, Delivery, and Rendering in Real Time",system_delivery,2023,MobiCom 2023,true,true,papers/metastream-metastream-live-volumetric-content-capture-creation-delivery-and-rendering-in-re.pdf,pages/metastream-metastream-live-volumetric-content-capture-creation-delivery-and-rendering-in-re.html,Medium
modgs,MoDGS: Dynamic Gaussian Splatting from Casually-captured Monocular Videos with Depth Priors,monocular_dynamic,2025,ICLR 2025,true,true,papers/modgs-modgs-dynamic-gaussian-splatting-from-casually-captured-monocular-videos-with-de.pdf,pages/modgs-modgs-dynamic-gaussian-splatting-from-casually-captured-monocular-videos-with-de.html,Medium
monodygaubench,Monocular Dynamic Gaussian Splatting is Fast and Brittle but Smooth Motion Helps,benchmark,2024,arXiv 2024,true,true,papers/monodygaubench-monocular-dynamic-gaussian-splatting-is-fast-and-brittle-but-smooth-motion-helps.pdf,pages/monodygaubench-monocular-dynamic-gaussian-splatting-is-fast-and-brittle-but-smooth-motion-helps.html,Very High
monohuman,MonoHuman: Animatable Human Neural Field from Monocular Video,foundational,2023,CVPR 2023,true,true,papers/monohuman-monohuman-animatable-human-neural-field-from-monocular-video.pdf,pages/monohuman-monohuman-animatable-human-neural-field-from-monocular-video.html,Medium
monoport,Monocular Real-Time Volumetric Performance Capture,legacy_foundational,2020,ECCV 2020,true,true,papers/monoport-monocular-real-time-volumetric-performance-capture.pdf,pages/monoport-monocular-real-time-volumetric-performance-capture.html,Medium
neural_body,Neural Body: Implicit Neural Representations with Structured Latent Codes for Novel View Synthesis of Dynamic Humans,legacy_foundational,2021,CVPR 2021,true,true,papers/neural_body-neural-body-implicit-neural-representations-with-structured-latent-codes-for-nov.pdf,pages/neural_body-neural-body-implicit-neural-representations-with-structured-latent-codes-for-nov.html,Medium
neural_human_performer,Neural Human Performer: Learning Generalizable Radiance Fields for Human Performance Rendering,legacy_foundational,2021,ICCV 2021,true,true,papers/neural_human_performer-neural-human-performer-learning-generalizable-radiance-fields-for-human-performa.pdf,pages/neural_human_performer-neural-human-performer-learning-generalizable-radiance-fields-for-human-performa.html,High
neuralhumanfvv,NeuralHumanFVV: Real-Time Neural Volumetric Human Performance Rendering using RGB Cameras,legacy_foundational,2021,CVPR 2021,true,true,papers/neuralhumanfvv-neuralhumanfvv-real-time-neural-volumetric-human-performance-rendering-using-rgb.pdf,pages/neuralhumanfvv-neuralhumanfvv-real-time-neural-volumetric-human-performance-rendering-using-rgb.html,High
pghm,Parametric Gaussian Human Model: Generalizable Prior for Efficient and Realistic Human Avatar Modeling,frontier_2025,2025,3DV 2026 / arXiv 2025,true,true,papers/pghm-parametric-gaussian-human-model-generalizable-prior-for-efficient-and-realistic-.pdf,pages/pghm-parametric-gaussian-human-model-generalizable-prior-for-efficient-and-realistic-.html,High
pku_dymvhumans,PKU-DyMVHumans: A Multi-View Video Benchmark for High-Fidelity Dynamic Human Modeling,benchmark,2024,arXiv 2024,true,true,papers/pku_dymvhumans-pku-dymvhumans-a-multi-view-video-benchmark-for-high-fidelity-dynamic-human-mode.pdf,pages/pku_dymvhumans-pku-dymvhumans-a-multi-view-video-benchmark-for-high-fidelity-dynamic-human-mode.html,High
play4d,Play4D: Accelerated and Interactive Free-viewpoint Video Streaming for Virtual Reality and Light Field Displays,volumetric_video,2025,SIGGRAPH Emerging Technologies 2025,true,true,papers/play4d-play4d-accelerated-and-interactive-free-viewpoint-video-streaming-for-virtual-re.pdf,pages/play4d-play4d-accelerated-and-interactive-free-viewpoint-video-streaming-for-virtual-re.html,Medium
queen,QUEEN: QUantized Efficient ENcoding of Dynamic Gaussians for Streaming Free-viewpoint Videos,volumetric_video,2024,arXiv 2024 / NVIDIA 2025,true,true,papers/queen-queen-quantized-efficient-encoding-of-dynamic-gaussians-for-streaming-free-viewp.pdf,pages/queen-queen-quantized-efficient-encoding-of-dynamic-gaussians-for-streaming-free-viewp.html,Medium
rana,RANA: Relightable Articulated Neural Avatars,relightable_human,2023,ICCV 2023,true,true,papers/rana-rana-relightable-articulated-neural-avatars.pdf,pages/rana-rana-relightable-articulated-neural-avatars.html,High
relightable_avatar_sparseview,Relightable and Animatable Neural Avatar from Sparse-View Video,relightable_human,2024,CVPR 2024,true,true,papers/relightable_avatar_sparseview-relightable-and-animatable-neural-avatar-from-sparse-view-video.pdf,pages/relightable_avatar_sparseview-relightable-and-animatable-neural-avatar-from-sparse-view-video.html,Very High
relightable_avatar_videos,Relightable and Animatable Neural Avatars from Videos,relightable_human,2024,AAAI 2024,true,true,papers/relightable_avatar_videos-relightable-and-animatable-neural-avatars-from-videos.pdf,pages/relightable_avatar_videos-relightable-and-animatable-neural-avatars-from-videos.html,High
relightable_holoported_characters,Relightable Holoported Characters: Capturing and Relighting Dynamic Human Performance from Sparse Views,sparse_multiview_extra,2025,arXiv 2025,true,true,papers/relightable_holoported_characters-relightable-holoported-characters-capturing-and-relighting-dynamic-human-perform.pdf,pages/relightable_holoported_characters-relightable-holoported-characters-capturing-and-relighting-dynamic-human-perform.html,Very High
relightables,The Relightables: Volumetric Performance Capture of Humans with Realistic Relighting,system_delivery,2019,SIGGRAPH Asia 2019,true,true,papers/relightables-the-relightables-volumetric-performance-capture-of-humans-with-realistic-relight.pdf,pages/relightables-the-relightables-volumetric-performance-capture-of-humans-with-realistic-relight.html,High
relighting4d,Relighting4D: Neural Relightable Human from Videos,relightable_human,2022,ECCV 2022,true,true,papers/relighting4d-relighting4d-neural-relightable-human-from-videos.pdf,pages/relighting4d-relighting4d-neural-relightable-human-from-videos.html,High
reperformer,RePerformer: Immersive Human-centric Volumetric Videos from Playback to Photoreal Reperformance,volumetric_video,2025,CVPR 2025,true,true,papers/reperformer-reperformer-immersive-human-centric-volumetric-videos-from-playback-to-photoreal.pdf,pages/reperformer-reperformer-immersive-human-centric-volumetric-videos-from-playback-to-photoreal.html,Very High
rmavatar,RMAvatar: Photorealistic Human Avatar Reconstruction from Monocular Video Based on Rectified Mesh-embedded Gaussians,monocular_human_2025,2025,Computers & Graphics 2025,true,true,papers/rmavatar-rmavatar-photorealistic-human-avatar-reconstruction-from-monocular-video-based-o.pdf,pages/rmavatar-rmavatar-photorealistic-human-avatar-reconstruction-from-monocular-video-based-o.html,High
