id,category,title,year,venue,pdf_url,page_url,relevance,golf_fit
fewshot_rgbd,legacy_foundational,Few-shot Neural Human Performance Rendering from Sparse RGBD Videos,2021,IJCAI 2021,https://www.ijcai.org/proceedings/2021/0130.pdf,https://www.ijcai.org/proceedings/2021/130,Relevant sparse-RGBD rendering baseline for few-view capture.,Medium
flexnerf,foundational,FlexNeRF: Photorealistic Free-viewpoint Rendering of Moving Humans from Sparse Views,2023,CVPR 2023,https://arxiv.org/pdf/2303.14368.pdf,https://arxiv.org/abs/2303.14368,Sparse calibrated multi-view human rendering baseline.,High
function4d,legacy_foundational,Function4D: Real-Time Human Volumetric Capture from Very Sparse Consumer RGBD Sensors,2021,CVPR 2021,https://openaccess.thecvf.com/content/CVPR2021/papers/Yu_Function4D_Real-Time_Human_Volumetric_Capture_From_Very_Sparse_Consumer_RGBD_CVPR_2021_paper.pdf,https://arxiv.org/abs/2105.01859,Sparse-sensor volumetric capture system with strong practical framing.,Medium
fvv_live,system_delivery,FVV Live: A Real-Time Free-Viewpoint Video System with Consumer Electronics Hardware,2020,Signal Processing: Image Communication 2020,https://arxiv.org/pdf/2007.00558.pdf,https://arxiv.org/abs/2007.00558,Earlier real-time FVV system with consumer hardware.,Medium
gaf,head_specific_2025,GAF: Gaussian Avatar Reconstruction from Monocular Videos via Multi-view Diffusion,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Tang_GAF_Gaussian_Avatar_Reconstruction_from_Monocular_Videos_via_Multi-view_Diffusion_CVPR_2025_paper.pdf,https://tangjiapeng.github.io/projects/GAF/,"Head-only diffusion-assisted monocular avatar method; useful as prior trend, not full-body golf solution.",Low
gaspacho,human_object_2025,GASPACHO: Gaussian Splatting for Controllable Humans and Objects,2025,arXiv 2025,https://arxiv.org/pdf/2503.09342.pdf,https://arxiv.org/abs/2503.09342,Key human-object interaction paper; directly relevant to golf club handling.,Very High
gauhuman,human_gs_2024,GauHuman: Articulated Gaussian Splatting from Monocular Human Videos,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Hu_GauHuman_Articulated_Gaussian_Splatting_from_Monocular_Human_Videos_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/html/Hu_GauHuman_Articulated_Gaussian_Splatting_from_Monocular_Human_Videos_CVPR_2024_paper.html,Strong monocular articulated-human GS baseline.,High
gaussianavatar,human_gs_2024,GaussianAvatar: Towards Realistic Human Avatar Modeling from a Single Video via Animatable 3D Gaussians,2024,CVPR 2024 / C&G 2025,https://arxiv.org/pdf/2312.02134.pdf,https://arxiv.org/abs/2312.02134,Monocular animatable avatar with dynamic appearance modeling.,High
gaussianbody,human_gs_extra,GaussianBody: Clothed Human Reconstruction via 3D Gaussian Splatting,2024,arXiv 2024,https://arxiv.org/pdf/2401.09720.pdf,https://arxiv.org/abs/2401.09720,Direct clothed-human 3DGS reconstruction method.,High
gbc_splat,sparse_multiview_extra,GBC-Splat: Generalizable Gaussian-Based Clothed Human Digitalization under Sparse RGB Cameras,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Tu_GBC-Splat_Generalizable_Gaussian-Based_Clothed_Human_Digitalization_under_Sparse_RGB_Cameras_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Tu_GBC-Splat_Generalizable_Gaussian-Based_Clothed_Human_Digitalization_under_Sparse_RGB_Cameras_CVPR_2025_paper.html,Current sparse-RGB-camera clothed human digitalization paper.,Very High
generalizable_human_gaussians,sparse_multiview_extra,Generalizable Human Gaussians for Sparse View Synthesis,2024,ECCV 2024,https://arxiv.org/pdf/2407.12777.pdf,https://humansensinglab.github.io/Generalizable-Human-Gaussians/,Sparse-view generalizable human Gaussian model.,Very High
geoavatar,sparse_multiview_2025,GeoAvatar: Geometrically-Consistent Multi-Person Avatar Reconstruction from Sparse Multi-View Videos,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Lee_GeoAvatar_Geometrically-Consistent_Multi-Person_Avatar_Reconstruction_from_Sparse_Multi-View_Videos_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Lee_GeoAvatar_Geometrically-Consistent_Multi-Person_Avatar_Reconstruction_from_Sparse_Multi-View_Videos_CVPR_2025_paper.html,"Multi-person sparse-view method; useful for occlusion reasoning, less central for single-subject golf.",Medium
giga,sparse_multiview_2025,GIGA: Generalizable Sparse Image-driven Gaussian Avatars,2025,arXiv 2025,https://vcai.mpi-inf.mpg.de/projects/GIGA/paper/giga_2025.pdf,https://vcai.mpi-inf.mpg.de/projects/GIGA/,Generalizable sparse-view full-body Gaussian avatar model.,Very High
gomavatar,human_gs_2024,GoMAvatar: Efficient Animatable Human Modeling from Monocular Video Using Gaussians-on-Mesh,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Wen_GoMAvatar_Efficient_Animatable_Human_Modeling_from_Monocular_Video_Using_Gaussians-on-Mesh_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/html/Wen_GoMAvatar_Efficient_Animatable_Human_Modeling_from_Monocular_Video_Using_Gaussians-on-Mesh_CVPR_2024_paper.html,Hybrid mesh-plus-Gaussian monocular avatar method with good efficiency/quality tradeoff.,High
gpnerf,legacy_foundational,Geometry-Guided Progressive NeRF for Generalizable and Efficient Neural Human Rendering,2022,ECCV 2022,https://arxiv.org/pdf/2112.04312.pdf,https://arxiv.org/abs/2112.04312,Generalizable human renderer with strong geometry prior.,High
gps_gaussian,sparse_multiview_extra,GPS-Gaussian: Generalizable Pixel-Wise 3D Gaussian Splatting for Real-Time Human Novel View Synthesis,2024,CVPR 2024,https://arxiv.org/pdf/2312.02155.pdf,https://arxiv.org/abs/2312.02155,Generalizable human GS from sparse inputs.,Very High
gps_gaussian_plus,sparse_multiview_extra,GPS-Gaussian+: Generalizable Pixel-wise 3D Gaussian Splatting for Real-Time Human-Scene Rendering from Sparse Views,2025,TPAMI 2025 / arXiv 2024,https://arxiv.org/pdf/2411.11363.pdf,https://arxiv.org/abs/2411.11363,Extended human-scene generalizable GS from sparse views.,Very High
haha,explicit_avatar_extra,HAHA: Highly Articulated Gaussian Human Avatars with Textured Mesh Prior,2024,ACCV 2024,https://openaccess.thecvf.com/content/ACCV2024/papers/Svitov_HAHA_Highly_Articulated_Gaussian_Human_Avatars_with_Textured_Mesh_Prior_ACCV_2024_paper.pdf,https://arxiv.org/abs/2404.01053,Hybrid mesh-plus-Gaussian monocular avatar with articulation emphasis.,High
hdhuman,legacy_foundational,HDHuman: High-Quality Human Novel-View Rendering from Sparse Views,2022,CVPR 2022,https://arxiv.org/pdf/2201.08158.pdf,https://tiansong97.github.io/hdhuman/,High-quality sparse-view human NVS baseline.,High
hf_avatar_single_rgb,legacy_foundational,High-Fidelity Human Avatars from a Single RGB Camera,2022,CVPR 2022,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhao_High-Fidelity_Human_Avatars_From_a_Single_RGB_Camera_CVPR_2022_paper.pdf,https://cic.tju.edu.cn/faculty/likun/projects/HF-Avatar/,Explicitly quality-oriented monocular avatar paper.,High
hifecap,legacy_foundational,HiFECap: Monocular High-Fidelity and Expressive Capture of Human Performances,2022,BMVC 2022,https://arxiv.org/pdf/2210.05665.pdf,https://arxiv.org/abs/2210.05665,High-fidelity monocular performance capture baseline from MPI.,High
hifi4g,human_gs_2024,HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_HiFi4G_High-Fidelity_Human_Performance_Rendering_via_Compact_Gaussian_Splatting_CVPR_2024_paper.pdf,https://arxiv.org/abs/2312.03461,Dense-footage compact Gaussian method aimed at high-fidelity performances.,Very High
hnerf,foundational,H-NeRF: Neural Radiance Fields for Rendering and Temporal Reconstruction of Humans in Motion,2021,NeurIPS 2021,https://arxiv.org/pdf/2110.13746.pdf,https://research.google/pubs/h-nerf-neural-radiance-fields-for-rendering-and-temporal-reconstruction-of-humans-in-motion/,Foundational human dynamic NeRF with sparse-view/monocular framing.,Medium
hogs,human_object_extra,Physics-Aware Human-Object Rendering from Sparse Views via 3D Gaussian Splatting,2025,arXiv 2025,https://arxiv.org/pdf/2503.09640.pdf,https://arxiv.org/abs/2503.09640,Directly relevant human-object rendering paper for golf-club interaction.,Very High
holoported_characters,human_gs_2024,Holoported Characters: Real-time Free-viewpoint Rendering of Humans from Sparse RGB Cameras,2024,arXiv 2024,https://arxiv.org/pdf/2312.07423.pdf,https://arxiv.org/abs/2312.07423,Sparse calibrated-camera method with explicit free-viewpoint video focus.,Very High
hosnerf,human_object_legacy,HOSNeRF: Dynamic Human-Object-Scene Neural Radiance Fields from a Single Video,2023,ICCV 2023,https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_HOSNeRF_Dynamic_Human-Object-Scene_Neural_Radiance_Fields_from_a_Single_Video_ICCV_2023_paper.pdf,https://showlab.github.io/HOSNeRF/,Important monocular human-object-scene reconstruction reference.,Very High
hr_human,explicit_avatar_extra,HR Human: Modeling Human Avatars with Triangular Mesh and High-Resolution Textures from Videos,2024,arXiv 2024,https://arxiv.org/pdf/2405.11270.pdf,https://arxiv.org/abs/2405.11270,Explicit mesh-and-texture avatar path focused on graphics-engine compatibility.,High
hugs,human_gs_2024,HUGS: Human Gaussian Splats,2024,CVPR 2024,https://arxiv.org/pdf/2311.17910.pdf,https://machinelearning.apple.com/research/hugs,Influential monocular human-plus-scene Gaussian method from Apple + MPI.,High
human_3dgs_survey,survey_review,Human Reconstruction using 3D Gaussian Splatting: A Brief Survey,2025,Frontiers in Artificial Intelligence 2025,https://public-pages-files-2025.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1709229/pdf,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1709229/full,Brief survey of human reconstruction through the 3DGS lens.,Low
human_olat,tooling_dataset,HumanOLAT: A Large-Scale Dataset for Full-Body Human Relighting and Novel-View Synthesis,2025,ICCV 2025,https://people.mpi-inf.mpg.de/~prao/papers/human_olat/paper.pdf,https://vcai.mpi-inf.mpg.de/projects/HumanOLAT/,Key full-body relighting and novel-view dataset.,High
human_perf_wild,legacy_foundational,Human Performance Capture from Monocular Video in the Wild,2021,3DV 2021,https://arxiv.org/pdf/2111.14672.pdf,https://www.research-collection.ethz.ch/handle/20.500.11850/517541,Monocular-in-the-wild performance capture baseline.,Medium
humancentric_vv_framework,survey_review,A General Framework for Gaussian Splatting-Based Human-Centric Volumetric Videos,2026,Visual Intelligence 2026,https://link.springer.com/content/pdf/10.1007/s44267-026-00111-7.pdf,https://link.springer.com/article/10.1007/s44267-026-00111-7,Framework/review paper focused specifically on human-centric volumetric video with GS.,Medium
humannerf,foundational,HumanNeRF: Free-viewpoint Rendering of Moving People from Monocular Video,2022,CVPR 2022,https://arxiv.org/pdf/2201.04127.pdf,https://research.google/pubs/humannerf-free-viewpoint-rendering-of-moving-people-from-monocular-video/,Key monocular human baseline for free-viewpoint playback.,Medium
humanrf,dense_multiview,HumanRF: High-Fidelity Neural Radiance Fields for Humans in Motion,2023,SIGGRAPH 2023,https://arxiv.org/pdf/2305.06356.pdf,https://actors-hq.com/,Dense multi-view high-fidelity human volumetric video baseline tied to ActorsHQ.,Very High
immersive_video_survey,survey_review,Immersive Video Interaction System: A Survey,2025,Visual Intelligence 2025,https://link.springer.com/content/pdf/10.1007/s44267-025-00076-z.pdf,https://link.springer.com/article/10.1007/s44267-025-00076-z,Broad survey of immersive/volumetric video systems and interaction.,Low
interactive_raga,relightable_human,Interactive Rendering of Relightable and Animatable Gaussian Avatars,2025,TVCG 2025 / arXiv 2024,https://arxiv.org/pdf/2407.10707.pdf,https://gapszju.github.io/InteractRAGA/,Interactive relightable Gaussian avatar rendering.,Medium
jointgs,frontier_2026,"JOintGS: Joint Optimization of Cameras, Bodies and 3D Gaussians for In-the-Wild Monocular Reconstruction",2026,arXiv 2026,https://arxiv.org/pdf/2602.04317.pdf,https://arxiv.org/abs/2602.04317,Current frontier monocular work improving robustness to bad camera/body initialization.,Medium
l4gm,feedforward_4d,L4GM: Large 4D Gaussian Reconstruction Model,2024,NeurIPS 2024,https://arxiv.org/pdf/2406.10324.pdf,https://research.nvidia.com/labs/toronto-ai/l4gm/,NVIDIA/MIT feed-forward 4D reconstruction frontier; not yet best artifact quality for humans.,Low
lca,frontier_2026,Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining,2026,arXiv 2026,https://arxiv.org/pdf/2604.02320.pdf,https://arxiv.org/abs/2604.02320,Latest large-scale avatar pretraining result; relevant to future monocular/sparse-view quality.,High
live4d,system_delivery,Live4D: A Real-time Capture System for Streamable Volumetric Video,2023,SIGGRAPH Asia 2023,,https://live4d-vv.github.io/,System-level streamable volumetric video capture pipeline.,Medium
livevv,system_delivery,LiveVV: Human-Centered Live Volumetric Video Streaming System,2023,arXiv 2023,https://arxiv.org/pdf/2310.08205.pdf,https://arxiv.org/abs/2310.08205,Live human-centered volumetric video streaming system.,Medium
longvolcap,volumetric_video_extra,Representing Long Volumetric Video with Temporal Gaussian Hierarchy,2024,TOG 2024 / arXiv,https://arxiv.org/pdf/2412.09608.pdf,https://zju3dv.github.io/longvolcap/,Long-duration volumetric video representation relevant to extended sessions.,Medium
lookingood,relightable_legacy,LookinGood: Enhancing Performance Capture with Real-Time Neural Re-Rendering,2018,SIGGRAPH Asia 2018,https://3dvar.com/Martin-Brualla2019LookinGood.pdf,https://research.google/pubs/lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering/,Neural re-rendering paper relevant to post-enhancing coarse human captures.,Medium
meshavatar,explicit_avatar_extra,MeshAvatar: Learning High-quality Triangular Human Avatars from Multi-view Videos,2024,ECCV 2024,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08563.pdf,https://arxiv.org/abs/2407.08414,High-quality explicit triangular avatar from multi-view video.,High
metacap,human_gs_2024,MetaCap: Meta-learning Priors from Multi-View Imagery for Sparse-view Human Performance Capture and Rendering,2024,ECCV 2024,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06292.pdf,https://arxiv.org/abs/2403.18820,Sparse-view human performance capture with learned priors.,Very High
metastream,system_delivery,"MetaStream: Live Volumetric Content Capture, Creation, Delivery, and Rendering in Real Time",2023,MobiCom 2023,https://3dvar.com/Guan2023MetaStream.pdf,https://digitalcommons.njit.edu/fac_pubs/2081/,Live volumetric capture-to-display system reference.,Medium
modgs,monocular_dynamic,MoDGS: Dynamic Gaussian Splatting from Casually-captured Monocular Videos with Depth Priors,2025,ICLR 2025,https://modgs.github.io/static/paper.pdf,https://modgs.github.io/,Current general monocular dynamic GS baseline with depth priors.,Medium
monodygaubench,benchmark,Monocular Dynamic Gaussian Splatting is Fast and Brittle but Smooth Motion Helps,2024,arXiv 2024,https://arxiv.org/pdf/2412.04457.pdf,https://arxiv.org/abs/2412.04457,Benchmark paper useful for tempering monocular GS claims.,Very High
monohuman,foundational,MonoHuman: Animatable Human Neural Field from Monocular Video,2023,CVPR 2023,https://arxiv.org/pdf/2304.02001.pdf,https://arxiv.org/abs/2304.02001,Important monocular animatable-human baseline.,Medium
monoport,legacy_foundational,Monocular Real-Time Volumetric Performance Capture,2020,ECCV 2020,https://arxiv.org/pdf/2007.13988.pdf,https://project-splinter.github.io/monoport/,Important monocular real-time volumetric capture precursor.,Medium
neural_body,legacy_foundational,Neural Body: Implicit Neural Representations with Structured Latent Codes for Novel View Synthesis of Dynamic Humans,2021,CVPR 2021,https://openaccess.thecvf.com/content/CVPR2021/papers/Peng_Neural_Body_Implicit_Neural_Representations_With_Structured_Latent_Codes_for_CVPR_2021_paper.pdf,https://zju3dv.github.io/neuralbody/,Foundational structured-latent dynamic human NeRF baseline.,Medium
neural_human_performer,legacy_foundational,Neural Human Performer: Learning Generalizable Radiance Fields for Human Performance Rendering,2021,ICCV 2021,https://arxiv.org/pdf/2109.07448.pdf,https://youngjoongunc.github.io/nhp/,Generalizable human performance rendering prior to GS wave.,High
neuralhumanfvv,legacy_foundational,NeuralHumanFVV: Real-Time Neural Volumetric Human Performance Rendering using RGB Cameras,2021,CVPR 2021,https://openaccess.thecvf.com/content/CVPR2021/papers/Suo_NeuralHumanFVV_Real-Time_Neural_Volumetric_Human_Performance_Rendering_Using_RGB_Cameras_CVPR_2021_paper.pdf,https://nowheretrix.github.io/neuralhumanFVV/,Early high-quality neural volumetric human performance rendering from RGB cameras.,High
pghm,frontier_2025,Parametric Gaussian Human Model: Generalizable Prior for Efficient and Realistic Human Avatar Modeling,2025,3DV 2026 / arXiv 2025,https://arxiv.org/pdf/2506.06645.pdf,https://pengc02.github.io/pghm/,Generalizable parametric Gaussian prior for monocular avatars.,High
pku_dymvhumans,benchmark,PKU-DyMVHumans: A Multi-View Video Benchmark for High-Fidelity Dynamic Human Modeling,2024,arXiv 2024,https://arxiv.org/pdf/2403.16080.pdf,https://pku-dymvhumans.github.io/,Benchmark focused on high-fidelity dynamic human modeling.,High
play4d,volumetric_video,Play4D: Accelerated and Interactive Free-viewpoint Video Streaming for Virtual Reality and Light Field Displays,2025,SIGGRAPH Emerging Technologies 2025,https://research.nvidia.com/labs/amri/projects/play4d/media/pdf/play4d.pdf,https://research.nvidia.com/publication/2025-12_play4d-accelerated-and-interactive-free-viewpoint-video-streaming-virtual,NVIDIA end-to-end FVV streaming stack built atop 4DGS + compression.,Medium
queen,volumetric_video,QUEEN: QUantized Efficient ENcoding of Dynamic Gaussians for Streaming Free-viewpoint Videos,2024,arXiv 2024 / NVIDIA 2025,https://arxiv.org/pdf/2412.04469.pdf,https://research.nvidia.com/labs/amri/projects/queen/,NVIDIA streaming/compression work for FVV delivery.,Medium
rana,relightable_human,RANA: Relightable Articulated Neural Avatars,2023,ICCV 2023,https://arxiv.org/pdf/2212.03237.pdf,https://nvlabs.github.io/RANA/,NVIDIA relightable articulated avatar method.,High
relightable_avatar_sparseview,relightable_human,Relightable and Animatable Neural Avatar from Sparse-View Video,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Relightable_and_Animatable_Neural_Avatar_from_Sparse-View_Video_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/html/Xu_Relightable_and_Animatable_Neural_Avatar_from_Sparse-View_Video_CVPR_2024_paper.html,Sparse-view full-body relightable avatar benchmark paper.,Very High
relightable_avatar_videos,relightable_human,Relightable and Animatable Neural Avatars from Videos,2024,AAAI 2024,https://arxiv.org/pdf/2312.12877.pdf,https://wenbin-lin.github.io/RelightableAvatar-page/,Relightable monocular avatar reconstruction from sparse videos.,High
relightable_holoported_characters,sparse_multiview_extra,Relightable Holoported Characters: Capturing and Relighting Dynamic Human Performance from Sparse Views,2025,arXiv 2025,https://arxiv.org/pdf/2512.00255.pdf,https://arxiv.org/abs/2512.00255,Sparse-view relightable human performance capture frontier.,Very High
relightables,system_delivery,The Relightables: Volumetric Performance Capture of Humans with Realistic Relighting,2019,SIGGRAPH Asia 2019,https://augmentedperception.github.io/therelightables/relightables_paper.pdf,https://augmentedperception.github.io/therelightables/,Google-quality relightable human capture system.,High
relighting4d,relightable_human,Relighting4D: Neural Relightable Human from Videos,2022,ECCV 2022,https://arxiv.org/pdf/2207.07104.pdf,https://arxiv.org/abs/2207.07104,Earlier full-body relightable human reconstruction benchmark.,High
reperformer,volumetric_video,RePerformer: Immersive Human-centric Volumetric Videos from Playback to Photoreal Reperformance,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Jiang_RePerformer_Immersive_Human-centric_Volumetric_Videos_from_Playback_to_Photoreal_Reperformance_CVPR_2025_paper.pdf,https://moqiyinlun.github.io/Reperformer/,High-fidelity human-centric volumetric video with playback + reperformance.,Very High
